flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level,expected_friction_level,label_mismatch,route,seed,run_id
landing_navigation,normal_landing,desktop,fast,1,0,1.034,1,0,0,0,0,0,0,0,83,83,74,117,92,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_61_1782664463386_bpjamc_61,landing_good_desktop_fast_61_1782664463386_bpjamc
landing_navigation,normal_landing,desktop,fast,1,0,1.112,1,0,0,0,0,0,0,0,73,73,63,98,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_62_1782664464530_sf9vf4_62,landing_good_desktop_fast_62_1782664464530_sf9vf4
landing_navigation,normal_landing,desktop,fast,1,0,0.965,1,0,0,0,0,0,0,0,37,36,24,93,68,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_63_1782664465757_hkil59_63,landing_good_desktop_fast_63_1782664465757_hkil59
landing_navigation,normal_landing,desktop,fast,1,0,1.084,1,0,0,0,0,0,0,0,77,77,67,101,76,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_64_1782664466839_wog9iy_64,landing_good_desktop_fast_64_1782664466839_wog9iy
landing_navigation,normal_landing,desktop,fast,1,0,0.981,1,0,0,0,0,0,0,0,69,69,33,93,66,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_65_1782664468050_2nl7mp_65,landing_good_desktop_fast_65_1782664468050_2nl7mp
landing_navigation,normal_landing,desktop,fast,1,0,1.052,1,0,0,0,0,0,0,0,64,63,52,70,46,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_66_1782664469152_qx0ohw_66,landing_good_desktop_fast_66_1782664469152_qx0ohw
landing_navigation,normal_landing,desktop,fast,1,0,0.919,1,0,0,0,0,0,0,0,62,62,52,84,61,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_67_1782664470322_qy81f0_67,landing_good_desktop_fast_67_1782664470322_qy81f0
landing_navigation,normal_landing,desktop,fast,1,0,0.899,1,0,0,0,0,0,0,0,42,42,30,69,43,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_68_1782664471360_k9tgwr_68,landing_good_desktop_fast_68_1782664471360_k9tgwr
landing_navigation,normal_landing,desktop,fast,1,0,1.108,1,0,0,0,0,0,0,0,69,69,60,91,66,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_69_1782664472372_k4y2ee_69,landing_good_desktop_fast_69_1782664472372_k4y2ee
landing_navigation,normal_landing,desktop,fast,1,0,0.99,1,0,0,0,0,0,0,0,55,55,45,92,68,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_70_1782664473592_7gnnqi_70,landing_good_desktop_fast_70_1782664473592_7gnnqi
landing_navigation,normal_landing,desktop,fast,1,0,0.925,1,0,0,0,0,0,0,0,48,47,36,90,65,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_71_1782664474698_dy298y_71,landing_good_desktop_fast_71_1782664474698_dy298y
landing_navigation,normal_landing,desktop,fast,1,0,0.985,1,0,0,0,0,0,0,0,56,55,45,96,71,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_72_1782664475749_5c6x81_72,landing_good_desktop_fast_72_1782664475749_5c6x81
landing_navigation,normal_landing,desktop,fast,1,0,0.961,1,0,0,0,0,0,0,0,51,51,41,69,45,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_73_1782664476849_lrubqi_73,landing_good_desktop_fast_73_1782664476849_lrubqi
landing_navigation,normal_landing,desktop,fast,1,0,1.003,1,0,0,0,0,0,0,0,87,86,77,97,72,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_74_1782664477919_6fau7p_74,landing_good_desktop_fast_74_1782664477919_6fau7p
