flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,normal_landing,desktop,fast,1,0,0.899,1,0,0,0,0,0,0,0,42,42,30,69,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.108,1,0,0,0,0,0,0,0,69,69,60,91,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.99,1,0,0,0,0,0,0,0,55,55,45,92,68,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.925,1,0,0,0,0,0,0,0,48,47,36,90,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.985,1,0,0,0,0,0,0,0,56,55,45,96,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.961,1,0,0,0,0,0,0,0,51,51,41,69,45,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.003,1,0,0,0,0,0,0,0,87,86,77,97,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.061,1,0,0,0,0,0,0,0,93,93,62,91,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.13,1,0,0,0,0,0,0,0,120,120,87,77,53,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.988,1,0,0,0,0,0,0,0,46,46,36,76,46,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.104,1,0,0,0,0,0,0,0,106,106,73,94,69,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.059,1,0,0,0,0,0,0,0,72,71,61,98,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.116,1,0,0,0,0,0,0,0,90,89,80,98,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.02,1,0,0,0,0,0,0,0,68,67,58,70,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.97,1,0,0,0,0,0,0,0,80,80,70,98,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.994,1,0,0,0,0,0,0,0,102,102,92,95,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.982,1,0,0,0,0,0,0,0,102,102,71,70,46,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.049,1,0,0,0,0,0,0,0,80,80,70,98,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.121,1,0,0,0,0,0,0,0,86,85,76,93,69,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.959,1,0,0,0,0,0,0,0,77,77,67,94,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.981,1,0,0,0,0,0,0,0,66,65,56,111,85,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.989,1,0,0,0,0,0,0,0,73,73,63,87,62,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.904,1,0,0,0,0,0,0,0,57,57,47,68,44,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.071,1,0,0,0,0,0,0,0,102,101,67,103,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.099,1,0,0,0,0,0,0,0,58,57,47,99,75,0,0,-1,0,0,0,0,Low
